Altium Designer Pick and Place Locations
D:\basecam\MiniRemote\Project Outputs for MiniRemote\Pick Place\Generates pick and place files.csv

========================================================================================================================
File Design Information:

Date:       02.07.24
Time:       20:04
Revision:   Not in VersionControl
Variant:    No variations
Units used: mil

"Designator","Comment","Layer","Center-X(mil)","Center-Y(mil)","Rotation","Description"
"R16","5.1K","TopLayer","449.998","2640.000","270","0603 5.1K OHM 0.1W 1%"
"R15","5.1K","TopLayer","524.998","2640.000","270","0603 5.1K OHM 0.1W 1%"
"R23","10K","TopLayer","1115.000","3625.002","180","0603 10K OHM 0.1W 1%"
"R22","10K","TopLayer","1584.998","3685.000","90","0603 10K OHM 0.1W 1%"
"R21","10K","TopLayer","1420.002","3685.000","90","0603 10K OHM 0.1W 1%"
"R20","10K","TopLayer","1115.000","3700.002","180","0603 10K OHM 0.1W 1%"
"R19","10K","TopLayer","1420.002","3860.000","270","0603 10K OHM 0.1W 1%"
"R18","10K","TopLayer","1585.002","3860.000","270","0603 10K OHM 0.1W 1%"
"R6","47K","BottomLayer","2060.000","3850.002","0","0603 47K OHM 0.1W 1%"
"R2","120","BottomLayer","1535.002","3760.000","90","0603 120 OHM 0.1W 1%"
"R11","1K","TopLayer","1490.000","3349.998","180","0603 1K OHM 0.1W 1%"
"R9","10K","TopLayer","1490.000","3274.998","180","0603 10K OHM 0.1W 1%"
"R1","10K","BottomLayer","1665.000","3849.998","180","0603 10K OHM 0.1W 1%"
"R5","2.4K","TopLayer","2225.002","3575.000","270","0603 2.4K OHM 0.1W 1%"
"R4","2.4K","TopLayer","2224.998","3440.000","90","0603 2.4K OHM 0.1W 1%"
"L1","3.3uH","TopLayer","1447.756","3095.000","0","1008 3.3uH 1.2A 100m OHM"
"FB1","EPZ1005E221-1R2T","BottomLayer","943.500","3275.000","0","0402 220 OHM 1LN"
"P9","USB4110-GF-A","BottomLayer","532.205","2755.511","90","CONN RCP USB2.0 TYP C 24P SMD RA"
"P6","toLEMO_PCB","BottomLayer","1180.788","3901.024","180","WR-FPC 0.50 mm 10-pin SMT ZIF Horizontal"
"P5","toEncoders","TopLayer","1181.103","3901.024","0","WR-FPC 0.50 mm 8-pin SMT ZIF Horizontal"
"P2","AG01 Mini CNC","BottomLayer","1450.787","2805.945","180","CONN HEADER SMD R/A 3POS 1.25MM"
"P1","AG01 Mini CNC","BottomLayer","1025.787","2805.945","180","CONN HEADER SMD R/A 3POS 1.25MM"
"C20","10nF","TopLayer","1659.998","3860.000","90","0603 10nF 100V X7R 10%"
"C29","2.2uF","TopLayer","940.000","3365.002","0","0603 2.2uF 10V X7R 10%"
"C28","10nF","BottomLayer","441.061","3135.000","270","0603 10nF 100V X7R 10%"
"C36","100nF","TopLayer","2351.418","3339.998","0","0603 100nF 50V X7R 10%"
"C35","1uF","TopLayer","2225.002","3775.160","90","0603 1uF 10V X7R 10%"
"C34","10uF","TopLayer","2325.000","3782.660","90","0805 10uF 10V X5R 10%"
"C26","100nF","TopLayer","940.000","3290.002","0","0603 100nF 50V X7R 10%"
"C18","10nF","TopLayer","695.000","3489.998","0","0603 10nF 100V X7R 10%"
"C43","100nF","BottomLayer","1430.002","3330.000","270","0603 100nF 50V X7R 10%"
"C42","10uF","BottomLayer","1303.741","3125.000","0","1206 (A) 10uF 10V 10%"
"C41","100nF","BottomLayer","1154.136","3140.000","270","0603 100nF 50V X7R 10%"
"C40","10uF","BottomLayer","1050.000","3177.500","270","0805 10uF 10V X5R 10%"
"C39","47uF","BottomLayer","1050.000","3384.055","90","1206 (A) 47uF 10V 20%"
"C38","100nF","BottomLayer","965.002","3170.000","270","0603 100nF 50V X7R 10%"
"C37","10nF","BottomLayer","890.002","3170.000","270","0603 10nF 100V X7R 10%"
"C13","100nF","TopLayer","2025.000","3464.998","0","0603 100nF 50V X7R 10%"
"C12","100nF","BottomLayer","1925.002","3145.000","270","0603 100nF 50V X7R 10%"
"C11","100nF","TopLayer","1605.000","3560.002","180","0603 100nF 50V X7R 10%"
"C10","100nF","TopLayer","1535.000","3490.002","180","0603 100nF 50V X7R 10%"
"C9","100nF","TopLayer","1490.000","3200.002","180","0603 100nF 50V X7R 10%"
"C8","2.2uF","TopLayer","1900.000","3040.945","270","1206 (A) 2.2uF 16V 10%"
"C7","8pF","TopLayer","1355.000","3200.002","180","0603 8pF 50V C0G 5%"
"C6","2.2uF","TopLayer","1789.998","3030.000","90","0603 2.2uF 10V X7R 10%"
"C5","8pF","TopLayer","1420.002","3455.000","270","0603 8pF 50V C0G 5%"
"C2","100nF","BottomLayer","1366.574","2939.998","180","0603 100nF 50V X7R 10%"
"C1","100nF","BottomLayer","941.574","2939.998","180","0603 100nF 50V X7R 10%"
